t, Groundwater Recharge (m3/day),t, Infiltration rate (m3/day),t, Overflow (m3/day),t, Pond water depth (m),t, Precipitation (mm/day),t, Underdrain flow (m3/day),t, inflow to the pond (m3/day),t, Soil Moisture
40544.70000,0.0086404,40544.70000,7.15623e-07,40544.70000,0,40544.70000,6.67015e-08,40544.70000,0,40544.70000,0,40544.70000,1.74583e-05,40544.70000,0.192657
40544.71000,0.0172807,40544.71000,2.4957e-06,40544.71000,0,40544.71000,1.76157e-07,40544.71000,0,40544.71000,0,40544.71000,3.45817e-05,40544.71000,0.385311
40544.72000,0.0172806,40544.72000,3.79546e-06,40544.72000,0,40544.72000,2.16012e-07,40544.72000,0,40544.72000,0,40544.72000,3.42527e-05,40544.72000,0.385307
40544.73000,0.0172806,40544.73000,5.22393e-06,40544.73000,0,40544.73000,2.53007e-07,40544.73000,0,40544.73000,0,40544.73000,3.39285e-05,40544.73000,0.385302
40544.74000,0.0172806,40544.74000,6.71677e-06,40544.74000,0,40544.74000,2.88572e-07,40544.74000,0,40544.74000,0,40544.74000,3.36069e-05,40544.74000,0.385298
40544.75000,0.0172807,40544.75000,8.27181e-06,40544.75000,0,40544.75000,3.18872e-07,40544.75000,0,40544.75000,0,40544.75000,3.32939e-05,40544.75000,0.385294
40544.76000,0.0172808,40544.76000,9.83463e-06,40544.76000,0,40544.76000,3.48515e-07,40544.76000,0,40544.76000,0,40544.76000,3.2982e-05,40544.76000,0.38529
40544.77000,0.0172809,40544.77000,1.13299e-05,40544.77000,0,40544.77000,3.74379e-07,40544.77000,0,40544.77000,0,40544.77000,3.26765e-05,40544.77000,0.385287
40544.78000,0.0172811,40544.78000,1.27624e-05,40544.78000,0,40544.78000,3.96734e-07,40544.78000,0,40544.78000,0,40544.78000,3.23768e-05,40544.78000,0.385283
40544.79000,0.0172812,40544.79000,1.41949e-05,40544.79000,0,40544.79000,4.19089e-07,40544.79000,0,40544.79000,0,40544.79000,3.2077e-05,40544.79000,0.385279
40544.80000,0.0172814,40544.80000,1.54345e-05,40544.80000,0,40544.80000,4.3777e-07,40544.80000,0,40544.80000,0,40544.80000,3.18074e-05,40544.80000,0.385275
40544.81000,0.0172816,40544.81000,1.63282e-05,40544.81000,0,40544.81000,4.49864e-07,40544.81000,0,40544.81000,0,40544.81000,3.15915e-05,40544.81000,0.385273
40544.82000,0.0172818,40544.82000,1.7222e-05,40544.82000,0,40544.82000,4.61957e-07,40544.82000,0,40544.82000,0,40544.82000,3.13757e-05,40544.82000,0.38527
